                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2826,                 4.0169,                0.99349,                 1.4162,                 8.1782,                0.96229,                 0.7084,                0.25758,                0.28577,                0.20679,                0.97066,                 2.6866,                0.91882,                 1.0774,                 5.7973,                0.92414,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.1449,                 2.2463,                0.96435,                 1.3307,                 2.9743,                0.97197,                0.65041,                0.41044,                0.47479,                0.35596,                0.93369,                 1.6568,                0.92064,                 1.0052,                 1.5293,                0.94466,              0.0063356,              0.0063356,              0.0063356
                      3,                 1.1236,                 1.4976,                0.97442,                 1.3334,                 1.5895,                0.99583,                0.77024,                0.49482,                0.62344,                0.47717,                0.88314,                0.98397,                0.92425,                0.98227,                 0.9808,                0.95505,               0.009009,               0.009009,               0.009009
                      4,                  1.066,                 1.0859,                0.96345,                 1.2847,                 1.2721,                0.98932,                0.69716,                0.72232,                0.79089,                0.61802,                0.78312,                0.66387,                  0.894,                0.87445,                  0.627,                0.90697,               0.008515,               0.008515,               0.008515
                      5,                0.99378,                0.85913,                0.93811,                 1.2033,                 1.0068,                0.96123,                0.89231,                0.73682,                0.84681,                0.66199,                0.76068,                0.55807,                0.87678,                0.84248,                0.48956,                 0.8951,               0.008515,               0.008515,               0.008515
                      6,                 0.9458,                0.74337,                 0.9233,                 1.1442,                0.86387,                0.94392,                0.87287,                0.83756,                0.89684,                0.73019,                0.72522,                 0.4735,                0.86834,                 0.7992,                0.42086,                0.87799,                0.00802,                0.00802,                0.00802
                      7,                0.90417,                0.66638,                0.90938,                  1.091,                0.75868,                0.92811,                0.84934,                0.88711,                0.91521,                0.74539,                0.69639,                0.41393,                0.85681,                0.75615,                0.37218,                0.86479,               0.007525,               0.007525,               0.007525
                      8,                0.87461,                0.61375,                0.90092,                 1.0554,                0.69345,                0.91771,                 0.8825,                0.88796,                0.92735,                 0.7691,                0.67468,                0.38413,                 0.8498,                0.72611,                0.31742,                 0.8556,                0.00703,                0.00703,                0.00703
                      9,                0.84957,                0.57467,                0.89385,                 1.0193,                0.63228,                0.90898,                0.94389,                0.87108,                0.92675,                0.77107,                0.65742,                0.36327,                0.84642,                0.70844,                0.30938,                0.85244,               0.006535,               0.006535,               0.006535
                     10,                0.82822,                0.54362,                0.88751,                0.99672,                0.59133,                0.90127,                0.95378,                0.87653,                0.93552,                0.78866,                0.65567,                0.35522,                0.84449,                0.70306,                0.29145,                 0.8488,                0.00604,                0.00604,                0.00604
                     11,                0.76554,                0.43981,                0.88264,                0.87775,                0.39386,                0.89461,                0.94856,                 0.8895,                0.95532,                0.80375,                 0.6428,                0.33891,                0.84048,                0.69386,                0.27653,                0.84697,               0.005545,               0.005545,               0.005545
                     12,                0.73904,                0.41268,                0.87574,                0.84896,                0.36203,                0.88598,                0.94793,                0.90814,                 0.9577,                0.81683,                  0.633,                0.32403,                0.83812,                0.67758,                0.26129,                0.84312,                0.00505,                0.00505,                0.00505
                     13,                0.71627,                0.39265,                0.86774,                 0.8188,                0.34158,                0.87585,                0.91274,                0.92759,                0.95855,                0.81983,                0.62123,                0.31627,                0.83478,                 0.6701,                0.25797,                0.83868,               0.004555,               0.004555,               0.004555
                     14,                0.69728,                 0.3758,                0.86209,                0.79961,                0.32178,                 0.8705,                0.94061,                0.95058,                0.96285,                0.82149,                0.61757,                0.31322,                 0.8326,                0.66706,                 0.2486,                0.83736,                0.00406,                0.00406,                0.00406
                     15,                0.67542,                0.35943,                0.85629,                0.77198,                0.30229,                0.86304,                0.93349,                0.93432,                0.95743,                0.81704,                 0.6148,                0.30925,                0.83175,                0.66179,                0.25582,                0.83554,               0.003565,               0.003565,               0.003565
                     16,                0.65464,                0.34415,                0.85098,                0.74825,                0.28532,                0.85652,                0.95191,                0.93105,                0.95931,                0.81985,                0.61066,                0.30423,                0.83054,                0.65801,                 0.2499,                0.83448,                0.00307,                0.00307,                0.00307
                     17,                0.63434,                0.32937,                0.84458,                0.72368,                0.27012,                0.84978,                0.95638,                0.93036,                0.95748,                0.82067,                0.60757,                0.29947,                0.82989,                0.65596,                0.24672,                0.83336,               0.002575,               0.002575,               0.002575
